,역명,승차총승객수,하차총승객수,동주소,위도,경도
399,압구정로데오,14506.985112647208,16461.854224270355,압구정동,37.5272937,127.0405129
400,영통,9103.163210445467,9291.920974142346,영통동,37.2514467,127.0712969
401,청명,4209.0593573988735,3893.188197644649,영통동,37.259506,127.0789818
402,망우,8571.216954685098,8402.616634664619,상봉동,37.5992876,127.0927566
403,퇴계원,3554.9079301075267,3207.6796979006667,퇴계원읍,37.6482373,127.1444049
405,가평,2651.636968766001,2757.508179723502,가평읍,37.8142502,127.5110171
406,청평,2507.180241935484,2349.5783858166924,청평면,37.735536,127.4266493
407,대성리,1036.7853558627753,1008.217793138761,청평면,37.6840857,127.379236
408,상천,474.0921979006656,428.86224398361503,청평면,37.7701212,127.454482
409,금곡,1546.2604454685097,1481.1466077828982,금곡동,37.6332404,127.20265
410,평내호평,6083.374539170507,5843.785560675882,평내동,37.653233,127.2444343
411,마석,3861.733486943165,3900.835675883256,화도읍,37.6522367,127.3096373
413,굴봉산,252.4377816180236,239.55440988223248,남산면,37.832101,127.5576603
414,남춘천,3250.8822836661548,3425.4393369175627,퇴계동,37.8640372,127.7238442
415,김유정,562.0500000000002,626.3180555555555,신동면,37.8195437,127.7164741
416,강촌,810.8877368151561,701.7221838197644,남산면,37.8157155,127.6325697
417,백양리,219.64309395801328,201.0118343573989,남산면,37.8308137,127.5893297
419,별내,2488.6592997951866,2404.891378648233,별내동,37.6423436,127.1274233
420,신내,748.9017665130568,804.839023297491,망우동,37.6127905,127.103222
422,원인재,5013.6817716333835,5034.947587045572,연수동,37.4121079,126.6876275
423,응봉,2020.654166666667,1732.1682027649772,응봉동,37.5504482,127.0349279
424,양원,1872.867684331797,1930.038722478239,망우동,37.6065544,127.1079215
425,중랑,6097.170186891962,5791.085394265233,중화동,37.5948241,127.0757289
426,서빙고,2193.1637096774193,2229.8181131592423,서빙고동,37.5199375,126.9899922
427,한남,4443.2887352790585,4395.4758128520225,한남동,37.5291881,127.0082498
428,도심,2777.4971326164873,2278.788824884793,와부읍,37.5796328,127.2226542
429,구리,13818.080997183823,14335.627643369175,인창동,37.6033337,127.1436109
430,양정,875.9933691756273,767.0274193548387,이패동,37.6040111,127.1946073
431,도농,9082.637986431131,8018.365008960573,다산동,37.6088256,127.1611529
432,팔당,1069.7174219150027,1045.5163594470048,와부읍,37.54689,127.2438314
433,운길산,1034.5920634920635,998.4008256528418,조안면,37.5548032,127.3098502
434,덕소,6555.034056579621,6525.516429851511,와부읍,37.5868976,127.2088196
